learning_rate,gamma,epoch,score
0.0001,0.96,500,15
0.0001,0.96,1000,12
0.0001,0.96,1500,14
0.0001,0.96,2000,14
0.0001,0.96,2500,23
0.0001,0.96,3000,16
0.0001,0.97,500,19
0.0001,0.97,1000,20
0.0001,0.97,1500,24
0.0001,0.97,2000,13
0.0001,0.97,2500,18
0.0001,0.97,3000,16
0.0001,0.98,500,17
0.0001,0.98,1000,12
0.0001,0.98,1500,19
0.0001,0.98,2000,17
0.0001,0.98,2500,17
0.0001,0.98,3000,16
0.0001,0.99,500,33
0.0001,0.99,1000,13
0.0001,0.99,1500,14
0.0001,0.99,2000,12
0.0001,0.99,2500,23
0.0001,0.99,3000,13
0.0005,0.96,500,15
0.0005,0.96,1000,17
0.0005,0.96,1500,127
0.0005,0.96,2000,102
0.0005,0.96,2500,73
0.0005,0.96,3000,414
0.0005,0.97,500,10
0.0005,0.97,1000,16
0.0005,0.97,1500,432
0.0005,0.97,2000,190
0.0005,0.97,2500,153
0.0005,0.97,3000,1246
0.0005,0.98,500,12
0.0005,0.98,1000,19
0.0005,0.98,1500,136
0.0005,0.98,2000,44
0.0005,0.98,2500,59
0.0005,0.98,3000,31
0.0005,0.99,500,18
0.0005,0.99,1000,21
0.0005,0.99,1500,29
0.0005,0.99,2000,36
0.0005,0.99,2500,463
0.0005,0.99,3000,295
0.001,0.96,500,24
0.001,0.96,1000,39
0.001,0.96,1500,165
0.001,0.96,2000,42
0.001,0.96,2500,31
0.001,0.96,3000,33
0.001,0.97,500,15
0.001,0.97,1000,34
0.001,0.97,1500,167
0.001,0.97,2000,46
0.001,0.97,2500,212
0.001,0.97,3000,30
0.001,0.98,500,22
0.001,0.98,1000,22
0.001,0.98,1500,112
0.001,0.98,2000,26
0.001,0.98,2500,175
0.001,0.98,3000,2527
0.001,0.99,500,18
0.001,0.99,1000,25
0.001,0.99,1500,205
0.001,0.99,2000,158
0.001,0.99,2500,16583
0.001,0.99,3000,65115
0.005,0.96,500,19
0.005,0.96,1000,32
0.005,0.96,1500,23
0.005,0.96,2000,1081
0.005,0.96,2500,1611
0.005,0.96,3000,264
0.005,0.97,500,11
0.005,0.97,1000,29
0.005,0.97,1500,42
0.005,0.97,2000,1139
0.005,0.97,2500,60
0.005,0.97,3000,1559
0.005,0.98,500,17
0.005,0.98,1000,19
0.005,0.98,1500,32
0.005,0.98,2000,330
0.005,0.98,2500,326
0.005,0.98,3000,155
0.005,0.99,500,19
0.005,0.99,1000,31
0.005,0.99,1500,74
0.005,0.99,2000,2299
0.005,0.99,2500,212
0.005,0.99,3000,87
